crop_time,read_image_time,model_time,full_time,run_time
39.00,26792.10,0.70,26842.20,50.10
51.80,26147.50,0.70,26221.70,74.20
36.80,26482.90,0.50,26541.40,58.50
64.80,23724.30,0.30,23799.40,75.10
30.00,42515.20,0.60,42554.70,39.50
30.50,28012.70,0.50,28058.70,46.00
36.60,28241.60,0.50,28290.70,49.10
30.40,28147.40,0.50,28188.20,40.80
33.10,27735.80,0.50,27777.70,41.90
29.20,28435.40,0.60,28472.60,37.20
35.40,27281.40,0.70,27328.30,46.90
34.30,28522.80,0.60,28566.30,43.50
31.40,30927.00,0.60,30967.10,40.10
38.90,27859.10,0.70,27909.00,49.90
33.30,27971.20,0.70,28014.50,43.30
34.80,27101.10,0.50,27147.40,46.30
28.70,42112.40,0.50,42149.90,37.50
33.10,28396.90,0.40,28442.30,45.40
36.20,26935.20,0.40,26981.40,46.20
35.20,29409.60,0.50,29454.60,45.00
32.20,28122.20,0.50,28164.00,41.80
35.40,28426.00,0.80,28471.40,45.40
36.00,26633.30,0.50,26679.90,46.60
31.50,29859.90,0.60,29900.60,40.70
32.60,29719.90,0.70,29763.10,43.20
33.20,27365.40,0.80,27408.90,43.50
93.20,25993.10,0.70,26112.50,119.40
40.10,15007.70,0.90,15067.10,59.40
32.10,44733.30,0.60,44775.50,42.20
40.30,25223.30,0.50,25272.00,48.70
32.40,28744.40,0.50,28787.30,42.90
31.80,18002.10,0.50,18045.00,42.90
35.60,29429.20,0.60,29474.50,45.30
33.00,28611.50,1.10,28653.70,42.20
31.40,28436.60,0.80,28476.90,40.30
35.20,29861.60,0.50,29906.40,44.80
32.90,28484.90,0.40,28530.30,45.40
30.00,29424.80,0.60,29464.10,39.30
50.80,27171.50,0.40,27235.80,64.30
35.90,28172.40,1.00,28217.80,45.40
32.70,43846.60,0.60,43889.10,42.50
32.70,27793.10,0.50,27834.40,41.30
32.50,28721.00,1.10,28765.90,44.90
32.30,27585.20,0.80,27628.40,43.20
34.70,28834.80,1.00,28879.70,44.90
32.00,28775.40,0.60,28815.30,39.90
32.90,28484.70,0.90,28527.00,42.30
34.90,29319.10,0.50,29363.60,44.50
33.50,29210.10,0.90,29253.10,43.00
30.20,30008.80,0.50,30047.50,38.70
35.70,27852.00,0.60,27896.80,44.80
107.70,29775.10,0.90,29917.00,141.90
34.00,42350.30,0.50,42394.20,43.90
31.20,27945.30,0.60,27986.30,41.00
32.80,29049.20,0.40,29090.90,41.70
32.00,28775.30,0.90,28816.00,40.70
33.40,29770.40,0.70,29812.30,41.90
